Input (Doctor),Target (Relative),Progression
"We've stabilized their vitals for now.", "Oh thank god... Is the worst over?", D
"We're still monitoring them closely.", "So they could still...?", I
"There's always a risk, but we're doing everything we can.", "I can't lose them, doctor. They're my whole world.", I
"I understand. We'll keep you updated.", "Please, just tell me they'll be okay.", I 
"We're hopeful, but it's too early to say for sure.", "I don't know if I can handle this...", I
"We're here for you. You're not alone in this.", "Thank you... I just... I need a moment.", D
"Take all the time you need.", "I just want them to wake up.", I 
"The surgery was a success.", "Really? Oh, that's wonderful news!", D
"They're still in recovery, but the initial signs are positive.", "Can I see them?", D
"Not yet, but soon. They need to rest.", "Okay... as long as they're okay.", D 
"We'll let you know when you can visit.", "Thank you so much, doctor.", D 
"We're doing everything we can for them.", "I know you are. I appreciate it.", D
"We'll keep you updated on their progress.", "Thank you. Thank you for everything.", D
"There were some complications during the procedure.", "Complications? What do you mean?", I
"We had to address an unexpected issue, but we managed it.", "Is that why it's taking so long?", I
"Yes, but they're out of surgery now.", "But are they okay? What happened?", I 
"They're stable for now, but we need to monitor them closely.", "This is all my fault... I shouldn't have...", I 
"This isn't your fault. We're focusing on their recovery.", "I just want them to be okay...", I 
"We all do. We'll keep you informed.", "Please... just save them.", I 
"I'm afraid I have some bad news.", "What? What is it?", I
"Their condition has worsened.", "No... No, this can't be happening.", I 
"We're doing everything we can, but...", "But what? Tell me!", I
"They're not responding to treatment as we hoped.", "No... Please, you have to do something!", I 
"We're consulting with other specialists.", "They can't... They can't leave me...", I
"We're doing everything in our power.", "I don't know what I'll do if...", I
"We need to discuss their care plan going forward.", "Care plan? What do you mean?", I 
"Given their condition, we need to consider all options.", "Options? What options?", I 
"We may need to make some difficult decisions.", "Difficult decisions? Like what?", I 
"We may need to consider palliative care.", "Palliative care? Are you saying...?", I
"We want to ensure they're comfortable.", "No... There has to be something else...", I 
"We'll discuss all possibilities with you.", "I... I need some time to think.", I
"They're asking for you.", "Really? Oh, I need to see them!", D
"Let's go.", "Thank you, doctor.", D
"They seem to be doing a little better today.", "That's such a relief to hear.", D
"We're seeing some positive signs.", "Oh, thank goodness.", D 
"Keep staying strong for them.", "I will. I promise.", N
"They're lucky to have you.", "I'm the lucky one.", N 
"We may need to run some additional tests.", "Is everything alright?", I
"We just want to be thorough.", "Is it serious?", I
"We won't know until we get the results back.", "I'm so scared.", I 
"We'll keep you informed every step of the way.", "Please do.", I
"Try not to worry too much just yet.", "That's easier said than done.", I
"We've identified the issue.", "What is it? What's wrong?", I
"It's a bit complex, but we have a plan.", "Just tell me what's happening!", I 
"We need to perform another surgery.", "Another surgery? But they just...", I
"We know this is difficult, but it's necessary.", "I don't understand...", I
"We'll explain everything in detail.", "Will they be okay?", I
"The next few hours are critical.", "Critical? What does that mean?", I
"We're doing everything we can to stabilize them.", "They have to be okay. They have to.", I 
"We're all hoping for the best.", "I can't lose them. I won't.", I 
"We understand your concern.", "Just please... save them.", I 
"We'll keep you updated.", "Please...", I 
"They're a fighter. They're doing their best.", "I know they are.", N
"They have a strong will to live.", "That's what keeps me going.", N
"Don't give up hope.", "I won't. Never.", N 
"We're here for you both.", "Thank you for everything.", D
"We need to have a serious discussion.", "What is it, doctor?", I 
"We've exhausted all our options.", "What are you saying?", I 
"We've done everything we could.", "No... There has to be something.", I 
"It's time to start thinking about quality of life.", "No, we can't give up.", I 
"We're here to support you both.", "I... I don't know what to do.", I 
"They're resting comfortably now.", "Can I see them?", D
"Of course.", "Thank you.", D
"They may not be awake, but they can hear you.", "I'll stay by their side.", D 
"Talk to them. Let them know you're here.", "I will.", D 
"Take all the time you need.", "Thank you, doctor.", D
"Their pain is being managed.", "Are they in a lot of pain?", I
"We're keeping them comfortable.", "I hate seeing them suffer.", I 
"We're doing everything we can to ease their discomfort.", "Thank you.", D
"It's important they rest.", "I just want them to wake up.", I
"We need to discuss end-of-life care.", "End-of-life? But...", I 
"We want to ensure they have a peaceful transition.", "I'm not ready for this.", I
"We understand this is difficult.", "I can't say goodbye.", I
"We'll be here to support you every step of the way.", "I just... need a moment.", I
"Their time is growing short.", "No... How much time?", I
"It's hard to say for sure.", "Please... just tell me.", I
"We're here for you both.", "I don't want to lose them.", I
"We understand.", "This isn't fair.", I
"They're asking for you again.", "I'm coming.", D
"They seem to be at peace.", "I'm glad.", D
"Spend time with them.", "I will.", D
"We'll give you some privacy.", "Thank you.", D 
"I'm so sorry.", "No... no...", I
"They fought bravely.", "They can't be gone.", I
"We did everything we could.", "This can't be happening.", I 
"We're here for you.", "I... I need some air.", I 
"We have a chaplain available if you need someone to talk to.", "Thank you.", N
"Grief counseling services are also available.", "I'll keep that in mind.", N
"Take care of yourself during this difficult time.", "I will try.", N
"You're not alone.", "Thank you.", N
"We've scheduled the surgery for tomorrow morning.", "Is there anything we need to do to prepare?", N
"Just make sure they follow the pre-op instructions.", "We will.", N
"We'll answer any questions you have then.", "Thank you, doctor.", D
"The results are inconclusive.", "What does that mean?", I
"We need to run some additional tests.", "Is it something serious?", I 
"We want to rule out all possibilities.", "I'm worried.", I 
"We'll know more soon.", "Please keep me updated.", I 
"They're showing signs of improvement.", "Really? That's wonderful news!", D
"Their body is responding well to the treatment.", "Oh, thank heavens.", D 
"We're cautiously optimistic.", "Me too, doctor. Me too.", D 
"We'll continue to monitor them closely.", "Thank you for everything.", D 
"We need to discuss their medication.", "Is something wrong?", I 
"We may need to adjust the dosage.", "Why? Is it not working?", I 
"We're just optimizing their treatment plan.", "Will they be okay?", I 
"We're confident this is the best course of action.", "I trust your judgment, doctor.", D
"The physical therapy is going well.", "That's good to hear.", D
"They're making progress every day.", "I'm so proud of them.", D
"They have a positive attitude.", "That's amazing.", D
"Keep encouraging them.", "I will.", D 
"We need to talk about their prognosis.", "Prognosis? What do you mean?", I
"It's important to have realistic expectations.", "Are you saying they won't get better?", I 
"We're doing everything we can.", "But what are the chances?", I 
"It's hard to say for certain.", "I need to know.", I
"They're having trouble breathing.", "What's happening?", I 
"We're giving them oxygen and monitoring their vitals.", "Will they be okay?", I 
"We're doing everything we can.", "Please, just help them.", I
"We'll keep you updated.", "I'm so scared.", I 
"They're asking for you.", "I'll be right there.", D
"They seem to be in good spirits.", "That makes me so happy.", D
"Cherish these moments.", "I will.", D
"We'll give you some privacy.", "Thank you.", D 
"We found a potential donor.", "Really? Oh my god!", D 
"It's a match!", "This is incredible news!", D
"We'll schedule the transplant as soon as possible.", "Thank you, doctor! Thank you!", D 
"This could be a life-saver.", "You've given us hope.", D 
"The biopsy results are back.", "And?", I 
"It's not what we were hoping for.", "What does that mean?", I 
"It's malignant.", "Malignant? You mean...", I
"We need to discuss treatment options.", "I... I don't know what to say.", I 
"They may need a blood transfusion.", "Is that serious?", I
"It's a routine procedure.", "Will they be okay?", I 
"There's always a slight risk, but it's necessary.", "I understand.", N
"We'll monitor them closely.", "Thank you.", D
"They seem to be depressed.", "I've noticed that too.", N
"It's important to address their emotional well-being.", "What can we do?", N
"We have a psychologist who can help.", "That would be great.", D
"Let them know they're not alone.", "We will.", D
"We're seeing some cognitive decline.", "Decline? What does that mean?", I
"Their memory and thinking skills are affected.", "Will it get worse?", I
"It's difficult to predict, but we're here to support you both.","This is just... so much.", I
"They've developed an infection.", "An infection? How did that happen?", I
"It's a common complication in their condition.", "But they were doing so well...", I 
"We're treating it with antibiotics.", "Will they be okay?", I 
"We're hopeful the medication will clear it up.", "Please make sure they are okay", N
"The chemo is taking a toll on their body.", "I know... they're so weak.", I
"It's a difficult process, but it's necessary.", "I just want them to feel better.", I
"We're managing their side effects as best we can.", "I appreciate everything you're doing.", D
"They're asking about going home.", "Home? But they're not strong enough.", I
"We can discuss options for home care.", "I don't know if I can handle that.", I 
"We need to talk about resuscitation orders.", "Resuscitation? Are we at that point?", I
"It's important to have a plan in place.", "I can't... I can't think about that.", I
"Their heart rate is dropping.", "What's happening? Is this it?", I
"We're doing everything we can.", "Please... don't let them go.", I
"We're here with you.", "They can't leave me.", I
"Just stay strong.", "I don't know if I can.", I
"They're gone.", "No... No, this can't be happening.", I
"I'm so sorry for your loss.", "They were everything to me.", I
"We did everything we could.", "I can't believe they're gone.", I
"Take all the time you need to grieve.", "I just... need a moment alone.", I
"We've managed to stop the bleeding.", "Oh thank goodness! Will they be okay?", D
"They're still in critical condition, but we're doing everything we can.", "I can't lose them, doctor. They're all I have.", I
"I understand. We'll keep you updated on their progress.", "Please, just tell me they'll pull through.", I
"We're hopeful, but it's still too early to say for sure.", "I don't know if I can handle this...", I
"The surgery was successful.", "Really? That's amazing news!", D
"They're still in recovery, but the initial signs are positive.", "Can I see them?", D
"Not yet, but soon. They need to rest.", "Okay... as long as they're okay.", D
"We'll let you know when you can visit.", "Thank you so much, doctor. You've given me hope.", D
"There were some complications during the procedure.", "Complications? What kind of complications?", I
"We had to address an unexpected issue, but we managed it.", "Is that why it took so long?", I
"Yes, but they're out of surgery now and in recovery.", "But are they going to be alright? What happened?", I
"They're stable for now, but we need to monitor them closely.", "This is all my fault... I should have never let them...", I 
"This isn't your fault. We're focusing on their recovery.", "I just want them to be okay...", I
"I'm afraid I have some bad news.", "What? What is it?", I
"Their condition has worsened overnight.", "No... No, this can't be happening.", I
"We're doing everything we can, but...", "But what? Tell me!", I
"They're not responding to treatment as we hoped.", "No... Please, you have to do something!", I
"We're consulting with other specialists, exploring all options.", "They can't... They can't leave me...", I 
"We need to discuss their care plan going forward.", "Care plan? What do you mean?", I
"Given their condition, we need to consider all possibilities.", "Possibilities? What are you saying?", I
"We may need to make some difficult decisions.", "Difficult decisions? Like what?", I
"We may need to consider palliative care.", "Palliative care? Are you saying...?", I
"We want to ensure they're comfortable and have the best quality of life possible.", "No... There has to be something else...", I
"They're out of surgery now.", "Thank goodness! How did it go?", D 
"Everything went as planned.", "Oh, that's such a relief! Can I see them?", D
"They're still in recovery, but you can see them shortly.", "Thank you, doctor. Thank you so much.", D
"We'll keep you updated on their progress.", "I can't wait to see them.", D 
"There were some complications during the procedure.", "Complications? What do you mean?", I
"We encountered some unexpected challenges, but the surgery was ultimately successful.", "Challenges? Like what? Are they going to be okay?", I
"We had to address some internal bleeding, but it's under control now.", "Bleeding? Oh god, this is all my fault... I should have brought them in sooner.", I 
"This isn't your fault. We're focusing on their recovery now.", "I just want them to be alright.", I
"The test results are back.", "And? What do they say?", N
"There are some abnormalities that we need to investigate further.", "Abnormalities? What does that mean?", I
"We need to run additional tests to get a clearer picture.", "Is it serious? Is it... something bad?", I
"It's too early to say for certain. We'll keep you informed.", "Please let me know as soon as possible.", I
"We've identified the cause of their symptoms.", "What is it? What's wrong with them?", I
"It's a rare condition, but we have a treatment plan in place.", "Rare? How rare? Is it treatable?", I
"It will require a long-term approach, but we're confident we can manage it.", "Thank you so much doctor.", N
"They're not responding to the medication as we hoped.", "What does that mean? What are you going to do?", I
"We may need to adjust the dosage or try a different medication altogether.", "But what if that doesn't work? What if nothing works?", I
"We'll explore all available options. We won't give up.", "Please, please don't give up on them.", N
"They're asking for you.", "I'll be there right away.", D
"They seem to be in good spirits today.", "That's wonderful to hear.", D
"Spend some quality time with them.", "I will. Thank you for letting me know.", D
"We'll give you some privacy.", "Thank you, doctor.", D
"We need to talk about their prognosis.", "Prognosis? What do you mean?", I
"We want to be realistic about their chances of recovery.", "Are you saying they might not make it?", I
"We're doing everything we can, but it's important to be prepared.", "Please don't say that..", I
"They're resting comfortably now.", "Can I see them?", D
"Of course.", "Thank you.", D
"They may not be awake, but they can hear you.", "I'll stay by their side.", D
"Talk to them. Let them know you're here.", "I will.", D
"Take all the time you need.", "Thank you, doctor.", D
"I understand this is a difficult time. Let's talk about your father's condition.", "Is he going to be okay? He looked so pale...",I
"He's stable right now, but we're still running tests.","What kind of tests? Is it his heart? He mentioned chest pain earlier.",I
"We're doing a full workup, including blood tests and imaging. We want to be thorough.", "I just... I can't lose him, doctor.",I
"We're doing everything we can. He's receiving the best possible care.","Will he need surgery?",I
"It's too early to say. We need to wait for the test results.","How long will that take?",I
"We should have some preliminary results within the next few hours.","Okay... Okay. Thank you.",I
"We'll keep you updated every step of the way.","Can I see him now?",I
"He's resting comfortably at the moment. It might be best to let him sleep.","I just want to be sure he's alright...",I
"I'll let you know as soon as he's awake and you can visit. We have a comfortable waiting area just down the hall.","Thank you.",I
"The surgery went well. We were able to remove the blockage in his artery.", "Oh, thank goodness! So, he'll be okay?",I
"He's still in recovery, but the initial signs are positive.","Can I see him?",I
"He's still sedated, but you can see him briefly when he's transferred to the ICU.","ICU? Is that serious?",I
"It's standard procedure after this type of surgery. We want to monitor him closely.","But he's going to be okay, right? He's strong.",I
"He's a fighter, and we're doing everything we can to support him. We'll know more in the next 24 hours.","I just... I can't lose him.",I
"We understand. This is a lot to process. We'll be here for you both.","Thank you.",I
"I'm afraid I don't have good news. The tests revealed a large mass...", "What kind of mass? Is it... is it cancer?",I
"...Yes, it appears to be malignant.","Oh god...",I
"We're still determining the stage and best course of treatment.","Treatment? He can fight this, right?",I
"We'll explore all options, including surgery, chemotherapy, and radiation.","He's going to be so scared...",I
"We have a team of specialists who will support him and you through this.","This can't be happening...",I
"We'll discuss the next steps soon. Take some time to process this.","...Okay.",I
"Your mother is stable now, but the next few days are critical.", "What happened? She was fine yesterday!",I
"She suffered a stroke. We're doing everything we can to manage her symptoms.","Will she recover? Will she be able to talk? Walk?",I
"It's too early to assess the long-term effects. We'll monitor her progress closely.","This is just... I can't believe this.",I
"We understand this is a shock. We'll keep you informed and answer any questions you have.","I just want her to be okay.",I
"We all do. We have a dedicated team providing her with the best possible care.","Thank you.",I
"We were able to stop the internal bleeding, but his blood pressure is still low.", "Is he going to make it?",I
"He's lost a lot of blood, and his condition is still critical. We're monitoring him closely.","He can't die... He has a family...",I
"We're doing everything in our power to stabilize him. He's a fighter.","I need to see him. Please.",I
"He's in the ICU right now. We can arrange a short visit soon.","Thank you.",I
"The biopsy results are back, and it's benign.", "Benign? You mean... it's not cancer?",I
"That's correct. It's a non-cancerous growth.","Oh my god... that's... that's amazing!",I
"We'll still need to monitor it, but it's not a cause for immediate concern.","I can't believe it... Thank you, doctor. Thank you so much!",I
"You're welcome. We're all relieved.","I can finally breathe again...",I
"We've managed to stabilize your son's condition, but he's still unconscious.", "When will he wake up?",I
"It's hard to say. The head injury is severe, and everyone responds differently.","Will he be okay? Will he have brain damage?",I
"We're doing everything we can to minimize any potential damage. We have a neurology team monitoring him closely.","He's just a kid... this isn't fair.",I
"We understand this is a difficult time. We'll keep you updated on his progress.","I just want him to wake up...",I
"We all do. We're here for you both.","Thank you.",I
"Your wife is out of surgery and in recovery. The procedure was successful.","Oh, thank goodness...",I
"She'll need time to heal, but the prognosis is good.","Can I see her?",I
"She's still groggy from the anesthesia, but you can see her shortly.","I was so worried...",I
"I understand. It's been a long day. We'll keep you updated on her progress.","Thank you for everything.",I
"We've identified the bacteria causing the infection, and we've started her on a course of strong antibiotics.", "Is she going to be okay?",I
"The infection was quite severe, but she's responding well to the medication.","She's been so weak...",I
"It will take time for her to regain her strength, but we're optimistic.","I just want her to get better.",I
"We're doing everything we can to ensure that happens. We'll continue to monitor her closely.","Thank you.",I
"Unfortunately, the test results confirm our suspicions. It's stage 4.", "Stage 4... but that's... that's not good, is it?",I
"...No, it means the cancer has spread.","But there's treatment, right? There has to be something we can do!",I
"We'll discuss all available options, including palliative care to keep him comfortable.","Palliative care...? You mean... there's no cure?",I
"We'll do everything we can to give him the best quality of life for as long as possible.","I... I can't... this can't be happening.",I
"We understand this is devastating news. We'll be here to support you both through this difficult time.","...",I
"We were able to resuscitate him, but his heart stopped for several minutes. We're not sure what the long-term effects will be.", "Will he be okay? Will he wake up?",I
"He's currently in a coma. It's too early to assess the extent of the damage.","He can't... he can't be brain dead, can he?",I
"We'll need to run further tests to determine his neurological status.","This is a nightmare...",I
